a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	b_metrical	c_location	t_before_onset	resp	result	rt
1	1.jpg	1.wav	Pop	3	4	37.jpg	37.wav	Rock	1	5	2	2	1	1	1	1	1	6	c	2	1234
2	23.jpg	23.wav	Pop	5	5	47.jpg	47.wav	Pop	3	5	2	2	1	1	0	0	1	6	m	1	332
3	19.jpg	19.wav	Rock	3	5	37.jpg	37.wav	Rock	1	5	2	2	1	0	1	0	1	6	m	1	1471
4	53.jpg	53.wav	Soul	4	5	13.jpg	13.wav	Rock	2	4	2	2	1	0	0	1	1	6	c	2	1068
5	48.jpg	48.wav	Rock	3	5	5.jpg	5.wav	Pop	2	5	1	1	1	1	1	0	0	6	m	2	1164
6	48.jpg	48.wav	Rock	3	5	13.jpg	13.wav	Rock	2	4	1	1	1	1	0	1	0	6	c	1	802
7	5.jpg	5.wav	Pop	2	5	27.jpg	27.wav	Pop	1	5	1	1	1	0	1	1	0	6	m	2	609
8	1.jpg	1.wav	Pop	3	4	12.jpg	12.wav	Pop	2	5	1	1	1	0	0	1	0	6	c	1	1918
9	5.jpg	5.wav	Pop	2	5	49.jpg	49.wav	Pop	2	5	0	0	1	1	1	1	1	6	c	2	395
10	12.jpg	12.wav	Pop	2	5	44.jpg	44.wav	70_rock	2	5	0	0	1	1	0	0	1	6	c	2	293
11	37.jpg	37.wav	Rock	1	5	51.jpg	51.wav	Pop	1	4	0	0	1	0	1	0	0	6	c	1	96
12	31.jpg	31.wav	Folk	3	5	47.jpg	47.wav	Pop	3	5	0	0	1	0	0	1	0	6	m	2	280
13	20.jpg	20.wav	Regae	3	4	50.jpg	50.wav	Rock	5	5	2	-2	0	1	1	0	1	6	m	1	1325
14	20.jpg	20.wav	Regae	3	4	23.jpg	23.wav	Pop	5	5	2	-2	0	1	0	0	1	6	m	1	297
15	27.jpg	27.wav	Pop	1	5	19.jpg	19.wav	Rock	3	5	2	-2	0	0	1	0	0	6	c	1	1016
16	1.jpg	1.wav	Pop	3	4	41.jpg	41.wav	Pop	5	5	2	-2	0	0	0	1	1	6	m	1	277
17	48.jpg	48.wav	Rock	3	5	53.jpg	53.wav	Soul	4	5	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
18	13.jpg	13.wav	Rock	2	4	31.jpg	31.wav	Folk	3	5	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
19	16.jpg	16.wav	Pop	2	5	1.jpg	1.wav	Pop	3	4	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
20	19.jpg	19.wav	Rock	3	5	45.jpg	45.wav	Pop	4	5	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
21	36.jpg	36.wav	Pop	5	5	32.jpg	32.wav	Pop	5	5	0	0	0	1	1	NaN	NaN	NaN		NaN	NaN
22	48.jpg	48.wav	Rock	3	5	20.jpg	20.wav	Regae	3	4	0	0	0	1	0	NaN	NaN	NaN		NaN	NaN
23	12.jpg	12.wav	Pop	2	5	13.jpg	13.wav	Rock	2	4	0	0	0	0	1	NaN	NaN	NaN		NaN	NaN
24	53.jpg	53.wav	Soul	4	5	45.jpg	45.wav	Pop	4	5	0	0	0	0	0	NaN	NaN	NaN		NaN	NaN
25	8.jpg	8.wav	Pop	5	5	30.jpg	30.wav	Cl_ce	3	4	2	2	1	1	1	NaN	NaN	NaN		NaN	NaN
26	41.jpg	41.wav	Pop	5	5	31.jpg	31.wav	Folk	3	5	2	2	1	1	0	NaN	NaN	NaN		NaN	NaN
27	46.jpg	46.wav	Rock	4	5	44.jpg	44.wav	70_rock	2	5	2	2	1	0	1	NaN	NaN	NaN		NaN	NaN
28	53.jpg	53.wav	Soul	4	5	5.jpg	5.wav	Pop	2	5	2	2	1	0	0	NaN	NaN	NaN		NaN	NaN
29	46.jpg	46.wav	Rock	4	5	30.jpg	30.wav	Cl_ce	3	4	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
30	20.jpg	20.wav	Regae	3	4	49.jpg	49.wav	Pop	2	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
31	23.jpg	23.wav	Pop	5	5	45.jpg	45.wav	Pop	4	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
32	31.jpg	31.wav	Folk	3	5	12.jpg	12.wav	Pop	2	5	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
